Id,Action
1,0.790754175113
2,0.979924744745
3,0.988901319001
4,0.991720263698
5,0.999981309809
6,0.987498280438
7,0.963919318186
8,0.999999658081
9,0.839160291764
10,0.970496458639
11,0.98001313787
12,0.978306273901
13,0.991353056429
14,0.675989365318
15,0.941064897068
16,0.964843653861
17,0.704403486034
18,0.611663318319
19,0.994654383741
20,0.991243788513
21,0.999989025561
22,0.989065865945
23,0.979332809907
24,0.980372530613
25,0.991722637596
26,0.847109117541
27,0.985233517595
28,0.936739100502
29,0.98184662157
30,0.933018317657
31,0.983820097031
32,0.98552362908
33,0.99087702009
34,0.991350254685
35,0.988785058568
36,0.982496257095
37,0.976057535332
38,0.999994907861
39,0.9824231651
40,0.969394079861
41,0.976805028095
42,0.988279915843
43,0.978178204186
44,0.987610202665
45,0.990856806821
46,0.982181768139
47,0.996078992653
48,0.976053499705
49,0.999999576456
50,0.993296813818
51,0.948477333034
52,0.990578741924
53,0.990504426201
54,0.993926469065
55,0.980628345979
56,0.985792005939
57,0.989199426523
58,0.99517365787
59,0.989416630408
60,0.979582685995
61,0.988188116718
62,0.999984192132
63,0.973323588631
64,0.991114750648
65,0.997154702256
66,0.988459334403
67,0.983697389126
68,0.999987288181
69,0.97830906408
70,0.578661398758
71,0.981776420245
72,0.983238928003
73,0.99437819563
74,0.995871663386
75,0.984342871171
76,0.991693860841
77,0.98659032869
78,0.955964947301
79,0.741087262342
80,0.995422786737
81,0.999981075959
82,0.990896688494
83,0.942625014978
84,0.989525439373
85,0.985207567981
86,0.883646390474
87,0.977180627395
88,0.994855878882
89,0.987876209324
90,0.728574479617
91,0.987264086948
92,0.778924057715
93,0.992755345559
94,0.982567194575
95,0.979712567695
96,0.996380685802
97,0.597497167355
98,0.994409485713
99,0.986627509395
100,0.995000538095
101,0.965608538366
102,0.13421628141
103,0.986119346855
104,0.981040426632
105,0.758729031719
106,0.986977873937
107,0.993156326469
108,0.974052770322
109,0.985497274203
110,0.981899078424
111,0.691755450566
